# error_sites.tsv — every error-throwing call site → corresponding Err(...)
# Columns: c_call	rust_equivalent	notes
# STATUS: populated. Patterns grouped by C-side error function. One row per
# distinct call shape; specific verbatim call sites in the source tree are
# instances of these patterns. The Rust equivalent is the canonical form
# to emit at the call site (see PORTING.md §4.2 and §6).
#
# Conventions:
#  - `state` is the conventional binding for `&mut LuaState`.
#  - `?` propagates from any helper that itself returns `Result<_, LuaError>`.
#  - `format_args!(...)` is preferred over `format!(...)`: no allocation
#    unless the error is realized.
#  - Constructors referenced (defined in `crates/lua-core/src/error.rs`):
#      LuaError::runtime(args)         -> Runtime(LuaValue::String(...))
#      LuaError::syntax(args)          -> Syntax(LuaValue::String(...))
#      LuaError::type_error(v, op)     -> Runtime with "attempt to <op> a <t> value"
#      LuaError::concat_error(p1, p2)  -> Runtime, typeerror on first non-coercible
#      LuaError::arith_error(p1, p2)   -> Runtime, "attempt to perform arithmetic"
#      LuaError::int_overflow(p1, p2)  -> Runtime, "number ... has no integer representation"
#      LuaError::order_error(p1, p2)   -> Runtime, "attempt to compare ..."
#      LuaError::call_error(v)         -> Runtime, "attempt to call a <t> value"
#      LuaError::for_error(v, what)    -> Runtime, "bad 'for' <what> (number expected...)"
#      LuaError::arg_error(narg, msg)  -> Runtime, "bad argument #N (...)"
#      LuaError::type_arg_error(narg, expected, got_v)
#                                      -> Runtime, "<expected> expected, got <type>"
#      LuaError::from_value(v)         -> Runtime(v)        (caller-supplied value)
#      LuaError::from_top(state)       -> Runtime(state.pop())
#      LuaError::with_status(status)   -> variant chosen by status code
#
# --- runtime errors (ldebug.c) ---
luaG_runerror(L, fmt, ...)	return Err(LuaError::runtime(format_args!(fmt, ...)))	generic runtime error; in C also formats msg, prepends source:line for Lua frames, then routes through luaG_errormsg → luaD_throw. The Rust constructor records the call site's source/line via `state.current_loc()` if available.
luaG_typeerror(L, o, "op")	return Err(LuaError::type_error(o, "op"))	"attempt to <op> a <type> value [extra]". `extra` is `varinfo` (local/upvalue/global name) — supply via `state.varinfo(o)` inside the constructor.
luaG_callerror(L, o)	return Err(LuaError::call_error(o))	"attempt to call a <type> value". Variant of type_error with op="call" and an extended varinfo via funcnamefromcall.
luaG_forerror(L, o, "limit"|"step"|"initial value")	return Err(LuaError::for_error(o, "limit"))	"bad 'for' <what> (number expected, got <type>)".
luaG_concaterror(L, p1, p2)	return Err(LuaError::concat_error(p1, p2))	"attempt to concatenate a <type> value". In C, dispatches to typeerror on whichever of p1/p2 isn't a string/number.
luaG_opinterror(L, p1, p2, "msg")	return Err(LuaError::arith_error(p1, p2, "msg"))	Used for bit ops where a float operand has no int representation. Routes to typeerror on the offending operand.
luaG_tointerror(L, p1, p2)	return Err(LuaError::int_overflow(p1, p2))	"number%s has no integer representation". The `%s` is `varinfo`; pass the offending operand to the constructor.
luaG_ordererror(L, p1, p2)	return Err(LuaError::order_error(p1, p2))	"attempt to compare two <t> values" or "attempt to compare <t1> with <t2>".
luaG_errormsg(L)	return Err(LuaError::from_top(state))	Raises the value already on top of stack. In C, also invokes the message handler if `errfunc != 0` then luaD_throw(LUA_ERRRUN). In Rust the message-handler step happens inside `state.protected_call`; here we just propagate.
luaG_traceexec(L, pc)	state.debug_trace_exec(pc)?	NOT an error per se — the line/count hook may *itself* raise, in which case `?` propagates. Keep as a fallible call, not an Err site.
#
# --- low-level throw and catch (ldo.c) ---
